variant,structure,contact_class,ref,band_bind,energy_h0_bind,scc_bind,third_bind,monopole_dipole_bind,dipole_dipole_bind,monopole_quadrupole_bind,dipole_quadrupole_bind,quadrupole_quadrupole_bind,multipole_bind,electronic_total_bind,repulsive_bind,dispersion_bind,total_bind,diff_vs_ref
baseline,IMZW6_1_WAT2,OH...pi(C1),-3.4746711456100456,-139.44235738705925,10.648060737900291,0.0734833046921553,-0.1979080794925494,0.21135378774424665,0.2018465172046114,-0.11876539235571067,-0.2337710616975717,-0.44326723314575023,-0.3826033822501732,10.141032518098086,-12.32652358113097,-1.1329253082710065,-3.318416245801291,0.15625489980875473
baseline,IMZW6_1_WAT3,CH...O(C3),-1.5004914331366308,-12.296224913684467,11.167090264645491,0.14245764005843484,-0.010559039169112404,-0.07096379140284807,0.06470601592370082,-0.3596292563895646,-0.05203032454762625,-0.2793328930846618,-0.6972502495009992,10.601738553283036,-12.07882024033549,-0.5013781244970473,-1.9784596860470474,-0.47796825291041656
baseline,IMZW6_1_WAT4,NH...O,-3.205808919563424,-121.78418556608948,13.93615528665826,-1.0421030382972214,0.7457807654589331,-0.43792392722315515,0.10265816542072216,-1.5870200918898199,-0.16762133472689358,-1.0013692020526266,-3.0912763277208244,10.548556623347961,-13.74345541029849,-0.7675335068792254,-3.9624321683266963,-0.7566232487632725
baseline,IMZW6_1_WAT5,CH...O(C3),-1.257300040422706,-105.09119497781107,12.431882296324329,0.34609011197717776,0.02168478214425095,0.23183299868692767,0.14354116066730221,-0.6396760670028674,-0.10454765919807293,-0.2647965733670427,-0.6336462029647014,12.166011050231946,-13.131300716560032,-0.6443078399328216,-1.6095973807581678,-0.3522973403354619
baseline,IMZW6_1_WAT6,OH...pi(N9),-2.1245750574744307,-6.684108114115865,11.210277349178584,-0.013408685192729052,-0.12344912307011738,-0.23546822382112265,0.05870332304576096,-0.35612907129418836,0.13473682624051186,-0.550206895708005,-0.9483640415370423,10.125055499379032,-12.464196900706284,-0.584593599124345,-2.923734874949807,-0.7991598174753762
baseline,IMZW7_1_WAT1,NH...O,-2.964502679533325,-109.57116225907252,12.96451986802339,-0.9006012834206271,0.7822505493253745,-0.5075341179395011,0.09013897490747853,-1.475267996420028,-0.15667593797460078,-0.9274793967231691,-2.976818474149821,9.869350659777428,-12.960262906501614,-0.7378890808112208,-3.8288012020321687,-0.8642985224988435
baseline,IMZW7_1_WAT2,CH...O(C3),-1.5877129225991666,139.48297161999832,10.942634016331962,0.8022585006530315,-0.18882908416896238,-0.5541020980173031,-0.013181464012168992,-0.1317314323654338,-0.06894277163973264,-0.09161920700584676,-0.8595769102895373,10.696486585277446,-12.294168816142593,-0.5863228269820212,-2.1840049950957874,-0.5962920724966208
baseline,IMZW7_1_WAT3,OH...N3,-5.781631879450288,-24.29783118000327,9.752441189442273,1.4615702176125966,-0.9123992145443791,-0.3339457956237412,-0.1746869659029489,-0.6131248861363094,-0.14342839721481246,-1.1776568818729625,-2.4428429267507767,7.858769265759471,-12.878515051032254,-0.788792586596272,-5.808538246366364,-0.026906366916076507
baseline,IMZW7_1_WAT4,CH...O(C3),-1.0469666495919228,-116.87612843507951,12.637625835615607,0.4438265950909287,0.05697014187839848,0.2414197746769269,0.11683027863959491,-0.6631690176966314,-0.10687452707884651,-0.21802647248764492,-0.6298199639466018,12.508602608638203,-13.351667046374573,-0.6269022958959967,-1.469966608130002,-0.42299995853807926
baseline,IMZW7_1_WAT5,OH...pi(N9),-2.375585097150178,-20.542542963860225,11.083670159178594,-0.08127025800865212,-0.1238731312217419,-0.2991168862810277,0.048699441508351815,-0.3716418585043972,0.12236786149535928,-0.5220039216528695,-1.0216953006836356,9.856831532014834,-12.47464556095893,-0.5821313774500164,-3.1999452808909816,-0.8243601837408034
